brand_name,model_name,os,popularity,best_price,lowest_price,highest_price,screen_size,memory_size,battery_size,release_date
Meizu,15 4/64GB Black,Android,116,5272,4970,5448,5.45,64,3000,May-18
Meizu,15 Plus 6/64GB Black,Android,666,5328,,,5.95,64,3500,Jun-18
Meizu,15 Plus 6/64GB Gray,Android,415,5328,,,5.95,64,3500,Jun-18
Meizu,15 Plus 6/64GB Gray,Android,405,5328,,,5.95,64,3500,Jun-18
Nokia,150 Black,,920,1180,959,1479,2.4,,1020,Feb-17
Nokia,150 Dual Sim Cyan (16GMNE01A04),,543,1190,1090,1479,2.4,,1020,Jul-20
Nokia,150 Dual Sim Red (16GMNR01A02),,835,1196,1090,1529,2.4,,1020,Jul-20
Nokia,150 White,,645,1090,959,1566,2.4,,1020,Feb-17
Meizu,16 6/128GB Black,Android,1111,5926,5290,6526,6,128,3100,Nov-18
Meizu,16 6/64GB Black,Android,1144,5231,4599,5759,6,64,3100,Nov-18
Meizu,16X 6/128GB Dual Purple,Android,663,5649,5599,5699,6,128,3100,Mar-20
Meizu,16Xs 6/128GB Pearl White,Android,900,7229,6840,7786,6.2,128,4000,Nov-20
Meizu,16th 6/64GB Black,Android,1063,7776,7049,8196,6,64,3010,Sep-18
ALCATEL,1B 5002H Pine Green (5002H-2BALUA12),Android,195,2399,,,5.5,16,3000,Sep-20
ALCATEL,1B 5002H Prime Black (5002H-2AALUA12),Android,616,2408,2168,3185,5.5,16,3000,Sep-20
ALCATEL,1SE 3/32GB Power Gray (5030D-2AALUA2),Android,629,3249,2889,3299,6.22,32,4000,Oct-20
ALCATEL,1SE 4/128GB Agate Green (5030E-2BALUA2),Android,790,3877,3581,3899,6.22,128,4000,Oct-20
ALCATEL,1SE 4/128GB Agate Green (5030E-2BALUA2),Android,793,3877,3581,3899,6.22,128,4000,Oct-20
Nokia,2.2 2/16GB Black,Android,1052,2299,,,5.71,16,3000,Aug-19
Nokia,2.3 2/32GB Green,Android,870,2799,,,6.2,32,4000,Feb-20
Nokia,2.4 2/32GB Charcoal,Android,1031,3162,2999,3299,6.5,32,4500,Sep-20
Honor,20 6/128GB Black,Android,823,9999,,,6.26,128,3750,Jul-19
ALCATEL,2003 Dual SIM Dark Gray (2003D-2AALUA1),,538,655,649,809,2.4,,970,Oct-20
ALCATEL,2003 Dual SIM Dark Gray (2003D-2AALUA1),,527,655,649,809,2.4,,970,Oct-20
ALCATEL,2003 Dual SIM Metallic Blue (2003D-2BALUA1),,193,654,647,809,2.4,,970,Oct-20
ALCATEL,2019 Single SIM Metallic Gray (2019G-3AALUA1),,545,864,849,1176,2.4,,970,Oct-20
ALCATEL,2053 Dual SIM Pure White (2053D-2BALUA1),,475,900,899,938,2.4,,970,Oct-20
ALCATEL,2053 Dual SIM Volcano Black (2053D-2AALUA1),,585,898,795,1129,2.4,,970,Oct-20
Nokia,210 Dual SIM 2019 Black (16OTRB01A02),,464,1153,975,1199,2.4,0.016,1020,May-19
Nokia,230 Dual Blue (16PCML01A02),,65,1864,1717,2229,2.8,0.016,1200,Mar-19
Nokia,230 Dual Dark Silver (A00026971),,860,1847,1725,1939,2.8,0.016,1200,Dec-15
Nokia,2720 Flip Black (16BTSB01A10),iOS,883,2530,2395,2689,2.8,4,1500,Sep-19
Nokia,2720 Flip Red,,721,2567,2389,2699,2.8,4,1500,Jan-20
Nokia,2720 Flip Red,,719,2567,2389,2699,2.8,4,1500,Jan-20
realme,3 Pro 6/128GB Nitro Blue,Android,103,7068,,,6.3,128,4045,Oct-19
realme,3 Pro 6/128GB Nitro Blue,Android,128,7068,,,6.3,128,4045,Oct-19
Nokia,3.4 3/64GB Charcoal,Android,1132,3899,3550,4049,6.39,64,4000,Sep-20
OnePlus,3T 128GB (Gunmetal),OxygenOS,235,6991,6195,9399,5.5,128,3400,Jan-17
OnePlus,3T 128GB (Gunmetal),OxygenOS,188,6991,6195,9399,5.5,128,3400,Jan-17
OnePlus,3T 64GB (Gunmetal),OxygenOS,921,5856,5630,6299,5.5,64,3400,Dec-16
ALCATEL,3X 5048Y Black (5048Y-2AALWE12),Android,194,3590,,,6.52,64,4000,Sep-20
Archos,40 Neon,Android,190,840,,,4,8,1300,May-16
Archos,40 Neon,Android,224,840,,,4,8,1300,May-16
realme,5 4/128GB Violet,Android,280,5757,,,6.5,128,5000,Mar-20
OnePlus,5 6/64GB Black,Android,337,7333,,,5.5,64,3300,Jun-17
OnePlus,5 6/64GB Slate Grey,Android,234,7333,,,5.5,64,3300,Jun-17
realme,5 Pro 8/128GB Green,Android,38,8294,,,6.3,128,4035,Jan-20
realme,5 Pro 8/128GB Green,Android,88,8294,,,6.3,128,4035,Jan-20
realme,5 Pro 8/128GB Green,Android,97,8294,,,6.3,128,4035,Jan-20
Nokia,5.3 4/64GB Charcoal,Android,1156,4429,4150,4583,6.55,64,4000,Jun-20
Nokia,5.4 4/128GB Polar Night,Android,701,9323,9166,9599,6.39,128,4000,Jan-21
Nokia,5310 2020 DualSim Black/Red (16PISXO1A18),,888,1365,1260,1419,2.4,0.016,1200,Apr-20
realme,5i 4/64GB Green,Android,137,4761,4532,4990,6.5,64,5000,Mar-20
realme,6 4/128GB Blue,Android,1139,5936,5599,6345,6.5,128,4300,Apr-20
realme,6 4/64GB Blue,Android,1045,5299,,,6.5,64,4300,Apr-20
Nokia,6 64GB Black,Android,309,6381,5265,7011,5.5,64,3000,Apr-17
Nokia,6 64GB Silver,Android,21,5265,,,5.5,64,3000,May-17
realme,6 8/128GB Blue,Android,1118,6767,6289,9547,6.5,128,4300,Apr-20
realme,6 Pro 8/128GB Blue,Android,1117,8045,7499,9006,6.6,128,4300,Apr-20
Nokia,6.1 4/32GB Black,Android,620,3820,3792,3848,5.5,32,3000,Jun-18
